X Error After Correction (Pixels) - Plot 0,Y Error After Correction (Pixels) - Plot 0
0.1835,0.01685
0.2257,-0.104
0.09924,-0.06946
0.05481,-0.06641
0.1129,0.08911
-0.03503,-0.2539
0.1567,-0.02612
0.1857,-0.06909
0.2361,-0.109
-0.02185,0.04358
-0.0002441,-0.02197
0.02722,0.05609
0.1046,-0.002319
0.1088,-0.2231
0.1183,-0.1401
0.03784,-0.2926
0.2539,-0.218
0.1497,-0.07599
0.1653,0.1478
-0.002197,0.009644
-0.01196,0.004883
-0.06665,-0.1233
0.04785,0.03247
0.02319,0.04333
0.05347,0.2629
0.0824,-0.08191
0.1011,-0.03198
0.04724,-0.09021
0.1581,-0.2489
-0.08142,-0.1486
0.1791,-0.0238
0.2065,0.178
0.1316,-0.05884
0.01294,0.06067
-0.06812,0.00354
-0.07397,0.04102
0.09595,-0.01172
-0.06152,-0.05933
-0.01904,0.05042
-0.05566,0.218
0.06445,0.2456
-0.1881,-0.1676
0.1097,0.04395
0.2003,-0.127
0.3213,-0.1957
0.1069,-0.07452
0.06262,-0.119
-0.03943,-0.0127
0.1993,-0.05261
0.1184,0.1024
0.06055,-0.08057
-0.007324,-0.09094
-0.02222,0.08545
-0.1296,0.0874
0.1121,0.165
0.2346,0.01294
0.1099,-0.05023
-0.1152,-0.0719
-0.06689,0.1812
0.02454,0.1582
0.05103,0.09436
-0.5045,-0.0929
-0.2863,0.1503
-0.07568,-0.1102
0.2416,0.05151
0.2574,-0.1968
0.3275,-0.078
0.1458,-0.1504
0.05603,-0.246
-0.05994,-0.01758
0.1785,-0.118
0.1261,0.005798
0.09985,-0.1085
-0.06201,-0.1504
-0.009277,-0.1201
-0.1226,0.03638
0.1409,0.177
0.1311,0.3
0.2546,0.2135
0.2012,-0.03186
0.1206,-0.01489
-0.1145,0.04712
0.02881,0.1297
-0.07141,0.2062
0.04907,0.3218
-0.6689,0.06201
-0.3577,0.1056
-0.4076,-0.1591
-0.1422,0.1288
-0.1738,-0.3123
0.2231,0.142
0.1324,-0.04395
0.1932,-0.1255
0.2015,-0.119
0.1545,-0.1899
0.02075,-0.1994
0.09314,-0.0769
0.01477,0.2087
-0.05615,-0.4031
-0.09497,-0.02881
-0.1169,-0.03918
-0.2588,-0.1162
0.1345,0.241
0.06177,0.2529
0.1472,0.2703
0.3489,-0.1726
0.3701,0.06757
0.1421,0.0006104
0.1912,0.0296
-0.0979,-0.02576
-0.06274,0.07202
-0.1453,0.2717
0.05005,0.4644
-0.8419,-0.04297
-0.5444,0.2682
-0.5958,-0.07965
-0.3687,0.265
-0.3921,-0.2989
-0.1857,0.17
-0.1858,-0.1713
0.3456,0.09741
0.2374,-0.2328
0.3502,-0.1924
0.3955,-0.203
0.05322,-0.1824
0.03662,0.09903
0.1506,-0.4801
0.05676,0.3257
0.03979,-0.6567
-0.2594,-0.4653
-0.2483,0.006958
-0.3521,-0.2007
-0.07031,-0.02612
0.04883,0.3804
0.05859,0.421
0.2334,0.08398
0.7632,-0.246
0.4004,-0.3013
0.1401,-0.03162
0.008057,0.009338
0.03931,-0.002014
-0.1633,-0.01559
-0.1111,0.2718
-0.2046,0.5012
-0.0116,0.8342
-0.9974,0.1757
-0.8422,0.3199
-0.6552,-0.07697
-0.4407,0.3839
-0.5613,-0.3167
-0.189,0.4238
-0.3889,-0.2801
0.1079,0.1293
-0.003052,-0.2404
0.4192,-0.04395
0.3265,-0.2719
0.3485,-0.1819
0.2797,0.06763
0.1276,-0.6218
0.1831,0.1634
0.1569,-0.738
0.2332,0.7789
-0.3818,-0.6394
-0.2405,-0.4127
-0.3494,-0.08875
-0.2939,-0.2097
-0.1794,0.1293
0.05566,0.5834
0.06177,0.07996
0.7129,0.06238
1.223,-0.01086
0.6995,-0.3696
0.2212,-0.5944
-0.04102,-0.009949
-0.005615,-0.04248
-0.1589,0.004822
-0.2937,0.1623
-0.1711,0.317
-0.2885,0.8909
-0.9512,0.5555
-1.1,0.05444
-0.7891,0.4692
-0.8035,-0.3309
-0.2905,0.55
-0.4011,-0.2929
-0.04919,0.2262
-0.2313,-0.3658
0.2114,0.1537
0.1084,-0.482
0.5969,0.01709
0.5256,-0.1485
0.4435,-0.4392
0.4734,0.07007
0.01282,-0.6494
0.1614,0.5539
-0.4089,-0.5774
-0.4814,-0.4752
-0.3738,0.008667
-0.447,0.08313
-0.1672,0.3375
0.1597,0.2629
0.2837,0.1014
1.119,0.2341
1.414,0.01807
1.195,-0.4056
0.656,-0.4832
0.03809,-0.3763
-0.1228,-0.04639
-0.2571,-0.1185
-0.1873,0.171
-0.436,0.2415
-0.2786,0.8448
-1.234,0.7185
-1.101,-0.2205
-0.507,0.8663
-0.5492,-0.2798
-0.04211,0.3572
-0.191,-0.4911
0.04016,0.3435
-0.116,-0.5628
0.3308,0.1378
0.2172,-0.196
0.6364,-0.3408
0.6038,0.05202
0.4247,-0.6836
0.5532,0.4792
-0.5947,-0.6763
-0.4561,-0.402
-0.6292,0.01379
-0.5984,0.2322
-0.156,0.3269
0.3486,0.4551
0.6045,0.3284
1.38,0.4006
1.418,-0.1855
0.9241,-0.4331
0.4612,-0.6199
0,-0.5391
-0.2573,-0.05139
-0.3425,0.1306
-0.3411,0.2374
-0.5398,0.5875
-0.8345,1.027
-0.8912,-0.3069
-0.2936,0.4558
-0.4401,-0.5367
0.05884,0.4736
-0.0813,-0.7171
0.1237,0.406
0.07678,-0.3171
0.4777,-0.1339
0.4404,-0.1239
0.6594,-0.4705
0.7017,0.3862
-0.657,-0.6243
-0.6165,-0.2413
-0.5986,0.2251
-0.5815,0.02966
0.1633,0.3467
0.6055,0.501
0.9026,0.4475
1.145,-0.3867
0.9363,-0.3626
0.3491,-0.7412
-0.2527,-0.7049
-0.4255,0.09659
-0.4126,0.1902
-0.5957,0.7821
-0.5804,0.8617
-0.6166,-0.5182
0.01697,0.7335
-0.1865,-0.6894
0.2746,0.6072
0.1414,-0.4013
0.176,0.04602
0.397,-0.3019
0.3677,-0.4165
0.7455,0.2265
-0.6741,-0.5188
-0.6775,-0.07031
-0.6021,0.1299
-0.1848,0.2207
0.4971,0.4374
0.6487,0.7483
0.957,-0.4261
0.6868,-0.6408
0.09839,-0.7127
-0.5259,-0.3513
-0.686,0.1263
-0.9651,0.5789
-0.124,0.9711
-0.3218,-0.5688
0.2032,0.6582
0.04523,-0.4575
0.3589,0.3519
0.4648,-0.2322
0.4624,-0.2927
0.6914,0.1749
-0.7402,-0.1707
-0.696,-0.02209
-0.2217,0.4827
-0.01538,0.4764
0.3811,0.6299
0.8215,-0.5796
0.334,-0.7607
-0.2446,-0.5076
-0.7295,-0.2774
-1.029,0.7113
0.1722,1.134
0.04547,-0.4678
0.5432,0.3473
0.4946,-0.2402
0.7568,-0.1599
0.9638,0.1547
-0.9978,-0.1921
-0.5303,0.1638
0.02979,0.9038
0.2991,0.8397
0.394,-0.6846
-0.04565,-0.547
-0.6384,-0.3331
-1.258,0.1648
0.7856,0.5616
0.7813,-0.1835
0.997,-0.1973
1.216,0.1062
-0.9048,-0.07251
-0.5408,0.3539
-0.1711,0.9004
-0.1155,-0.5591
-0.7187,-0.297
-1.524,0.1325
1.522,0.03174
1.67,0.46
-0.9639,-0.02417
-0.6121,0.6345
-0.803,-0.2973
-1.544,0.3045
-1.033,0.01563
-1.526,0.1449
